ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,NEWS595,SYSTEM1.TXT,0.45000,0.15789,0.23377,1

ROUGE-L+StopWordRemoval,NEWS111,SYSTEM1.TXT,0.14286,0.07692,0.10000,1

ROUGE-1+StopWordRemoval,NEWS111,SYSTEM1.TXT,0.14286,0.05882,0.08333,1

ROUGE-2+StopWordRemoval,NEWS111,SYSTEM1.TXT,0.08333,0.03226,0.04651,1

ROUGE-L+StopWordRemoval,NEWS112,SYSTEM1.TXT,0.15000,0.05882,0.08451,1

ROUGE-1+StopWordRemoval,NEWS112,SYSTEM1.TXT,0.19048,0.07273,0.10526,1

ROUGE-2+StopWordRemoval,NEWS112,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

